Nationality,Average Defense,Average Midfielders,Average Attack
Albania,74.0,73.33,75.0
Austria,76.67,76.33,76.0
Belgium,78.8,80.25,79.5
Croatia,77.0,79.0,76.0
Czechia,74.8,75.0,77.0
Denmark,77.4,77.0,77.0
England,80.6,82.5,82.0
France,81.2,80.75,81.5
Germany,81.0,81.0,81.0
Hungary,75.2,74.4,72.0
Italy,79.75,79.25,78.33
Netherlands,80.17,78.33,79.0
Poland,76.4,77.4,76.0
Romania,72.2,73.67,73.0
Scotland,75.4,76.2,75.0
Serbia,76.2,76.75,78.0
Slovakia,74.83,74.67,72.5
Slovenia,74.4,73.75,75.0
Spain,80.0,82.0,80.67
Switzerland,77.33,77.33,76.0
TÃ¼rkiye,76.0,78.67,76.0
Ukraine,75.8,76.6,79.0
Georgia,73.0,72.25,75.0
Portugal,79.75,80.4,80.0
